FI,01-01-2018 08:00,10226.24
FR,01-01-2018 08:00,52177
GB,01-01-2018 08:00,31925.35
GR,01-01-2018 08:00,5521.64
HR,01-01-2018 08:00,1740
HU,01-01-2018 08:00,3870.5
IE,01-01-2018 08:00,2433.84
IS,01-01-2018 08:00,2142.25
IT,01-01-2018 08:00,24131
LT,01-01-2018 08:00,1119
LU,01-01-2018 08:00,461.6
LV,01-01-2018 08:00,684
ME,01-01-2018 08:00,407
MK,01-01-2018 08:00,756
NL,01-01-2018 08:00,11573
NO,01-01-2018 08:00,17420.86
PL,01-01-2018 08:00,12684
PT,01-01-2018 08:00,3984
RO,01-01-2018 08:00,4848
RS,01-01-2018 08:00,4428
SE,01-01-2018 08:00,16580
SI,01-01-2018 08:00,1224
SK,01-01-2018 08:00,2827.21
TR,01-01-2018 08:00,27364.91
AL,01-01-2018 09:00,998.57
AT,01-01-2018 09:00,7750
BA,01-01-2018 09:00,1482
BE,01-01-2018 09:00,7810
BG,01-01-2018 09:00,3739.22
CH,01-01-2018 09:00,7429
CY,01-01-2018 09:00,389
CZ,01-01-2018 09:00,6217
DE,01-01-2018 09:00,46400.38
DK,01-01-2018 09:00,3774.3
EE,01-01-2018 09:00,877
ES,01-01-2018 09:00,21333
FI,01-01-2018 09:00,10395.05
FR,01-01-2018 09:00,54278
GB,01-01-2018 09:00,35127.54
GR,01-01-2018 09:00,5884.93
HR,01-01-2018 09:00,1881
HU,01-01-2018 09:00,4071.76
IE,01-01-2018 09:00,2623.9
IS,01-01-2018 09:00,2145.23
IT,01-01-2018 09:00,25501
LT,01-01-2018 09:00,1184
LU,01-01-2018 09:00,481.2
LV,01-01-2018 09:00,720
ME,01-01-2018 09:00,439
MK,01-01-2018 09:00,814
NL,01-01-2018 09:00,12011
NO,01-01-2018 09:00,17805.06
PL,01-01-2018 09:00,13272
PT,01-01-2018 09:00,4402
RO,01-01-2018 09:00,4832
RS,01-01-2018 09:00,4691
SE,01-01-2018 09:00,17108
SI,01-01-2018 09:00,1300
SK,01-01-2018 09:00,2918.55
TR,01-01-2018 09:00,28493.42
AL,01-01-2018 10:00,1010.66
AT,01-01-2018 10:00,7972
BA,01-01-2018 10:00,1521
BE,01-01-2018 10:00,8167
BG,01-01-2018 10:00,3668.62
CH,01-01-2018 10:00,7431
CY,01-01-2018 10:00,403
CZ,01-01-2018 10:00,6406
DE,01-01-2018 10:00,49051.76
DK,01-01-2018 10:00,4097
EE,01-01-2018 10:00,897.7
ES,01-01-2018 10:00,22622
FI,01-01-2018 10:00,10432.06
FR,01-01-2018 10:00,56689
GB,01-01-2018 10:00,38021.59
GR,01-01-2018 10:00,5932.33
HR,01-01-2018 10:00,1990
HU,01-01-2018 10:00,4239.99
IE,01-01-2018 10:00,2959.34
IS,01-01-2018 10:00,2162.07
IT,01-01-2018 10:00,27083
LT,01-01-2018 10:00,1217
LU,01-01-2018 10:00,508.2
LV,01-01-2018 10:00,738
ME,01-01-2018 10:00,453
MK,01-01-2018 10:00,857
NL,01-01-2018 10:00,12324
NO,01-01-2018 10:00,18102.72
PL,01-01-2018 10:00,13810
PT,01-01-2018 10:00,4824
RO,01-01-2018 10:00,4866
RS,01-01-2018 10:00,4805
SE,01-01-2018 10:00,17322
SI,01-01-2018 10:00,1378
SK,01-01-2018 10:00,3047.91
TR,01-01-2018 10:00,28880.29
AL,01-01-2018 11:00,1012.64
AT,01-01-2018 11:00,7876
BA,01-01-2018 11:00,1529
BE,01-01-2018 11:00,8655
BG,01-01-2018 11:00,3526.07
CH,01-01-2018 11:00,7828
CY,01-01-2018 11:00,402
CZ,01-01-2018 11:00,6498
DE,01-01-2018 11:00,50167.51
DK,01-01-2018 11:00,4121.9
EE,01-01-2018 11:00,904.3
ES,01-01-2018 11:00,23211
FI,01-01-2018 11:00,10425.19
FR,01-01-2018 11:00,59334
GB,01-01-2018 11:00,40392.8
GR,01-01-2018 11:00,5640.31
HR,01-01-2018 11:00,2007
HU,01-01-2018 11:00,4304.36
IE,01-01-2018 11:00,3216.39
IS,01-01-2018 11:00,2165.67
IT,01-01-2018 11:00,27982
LT,01-01-2018 11:00,1222
LU,01-01-2018 11:00,525.5
LV,01-01-2018 11:00,747
ME,01-01-2018 11:00,454
MK,01-01-2018 11:00,876
NL,01-01-2018 11:00,12609
NO,01-01-2018 11:00,18276.84
PL,01-01-2018 11:00,14279
PT,01-01-2018 11:00,5026
RO,01-01-2018 11:00,4938
RS,01-01-2018 11:00,4836
SE,01-01-2018 11:00,17577
SI,01-01-2018 11:00,1399
SK,01-01-2018 11:00,3013.77
TR,01-01-2018 11:00,29118.33
AL,01-01-2018 12:00,1007.16
AT,01-01-2018 12:00,7804
BA,01-01-2018 12:00,1549
BE,01-01-2018 12:00,8831
BG,01-01-2018 12:00,3436.29
CH,01-01-2018 12:00,7709
CY,01-01-2018 12:00,394
CZ,01-01-2018 12:00,6555
DE,01-01-2018 12:00,49199.85
DK,01-01-2018 12:00,4014.3
EE,01-01-2018 12:00,913.7
ES,01-01-2018 12:00,23842
FI,01-01-2018 12:00,10547.72
FR,01-01-2018 12:00,57018
GB,01-01-2018 12:00,41652.27
GR,01-01-2018 12:00,5094.66
HR,01-01-2018 12:00,1931
HU,01-01-2018 12:00,4215.11
IE,01-01-2018 12:00,3393.28
IS,01-01-2018 12:00,2142.15
IT,01-01-2018 12:00,26361
LT,01-01-2018 12:00,1225
LU,01-01-2018 12:00,524.9
LV,01-01-2018 12:00,759
ME,01-01-2018 12:00,448
MK,01-01-2018 12:00,878
NL,01-01-2018 12:00,12771
NO,01-01-2018 12:00,18408.5
PL,01-01-2018 12:00,14759
PT,01-01-2018 12:00,4843
RO,01-01-2018 12:00,4961
RS,01-01-2018 12:00,4774
SE,01-01-2018 12:00,17674
SI,01-01-2018 12:00,1376
SK,01-01-2018 12:00,3030.66
TR,01-01-2018 12:00,29237.76
AL,01-01-2018 13:00,980.59
